fname,lname,email,gender,age,overall_gpa,major_gpa,intro_gpa,intermediate_gpa,advanced_gpa,years_experience
Doreen,Parker,doreen.parker@email.com,Female,39,2.8,2.9,3.1,2.8,2.8,5
Rebecca,Reynolds,rebecca.reynolds@email.com,Female,39,2.1,2.4,2.5,2.5,2.2,12
Rachael,Wilkins,rachael.wilkins@email.com,Female,39,2.4,2.9,3.0,2.8,2.9,7
Devin,Wright,devin.wright@email.com,Male,39,3.4,3.7,3.8,3.6,3.7,15
Mae,Bates,mae.bates@email.com,Female,38,2.2,2.6,2.6,2.7,2.5,4
Derrick,Brock,derrick.brock@email.com,Male,37,2.1,2.0,2.1,2.1,1.8,11
Hilda,Burke,hilda.burke@email.com,Female,37,3.1,3.7,3.8,3.6,3.7,10
Jeanne,Copeland,jeanne.copeland@email.com,Non-binary,37,2.8,2.9,2.8,3.0,2.9,7
Charlotte,Henry,charlotte.henry@email.com,Female,37,3.0,3.4,3.3,3.3,3.6,0
Gerard,Lloyd,gerard.lloyd@email.com,Male,37,2.4,2.8,3.0,2.7,2.7,13
Billie,Maxwell,billie.maxwell@email.com,Female,37,2.3,2.6,2.6,2.7,2.5,8
Monique,Rodriguez,monique.rodriguez@email.com,Non-binary,37,2.9,3.3,3.2,3.2,3.5,12
Kristine,Waters,kristine.waters@email.com,Female,37,3.3,3.9,3.9,3.8,4.0,8
David,Carr,david.carr@email.com,Male,36,3.1,2.9,2.9,2.9,2.9,11
Matt,Daniel,matt.daniel@email.com,Male,36,2.4,2.3,2.3,2.3,2.3,13
Donnie,Jackson,donnie.jackson@email.com,Male,36,3.0,3.6,3.6,3.7,3.5,14
Lee,Osborne,lee.osborne@email.com,Non-binary,36,2.4,2.5,2.5,2.4,2.6,1
Leo,Pittman,leo.pittman@email.com,Male,36,3.2,3.7,3.9,3.7,3.5,14
Krista,Robertson,krista.robertson@email.com,Female,36,2.1,2.3,2.4,2.4,2.1,8
Vickie,Singleton,vickie.singleton@email.com,Female,36,2.7,2.8,2.7,2.7,3.0,4
Janice,Terry,janice.terry@email.com,Female,36,2.7,2.7,2.6,2.8,2.7,14
Travis,Garner,travis.garner@email.com,Male,35,3.4,3.9,3.8,4.0,3.9,5
Constance,Lynch,constance.lynch@email.com,Female,35,2.3,2.6,2.8,2.7,2.3,1
Georgia,Mathis,georgia.mathis@email.com,Female,35,2.0,2.0,2.2,2.1,1.7,2
Rita,Moore,rita.moore@email.com,Female,35,3.3,3.7,3.8,3.6,3.7,9
Theresa,Nguyen,theresa.nguyen@email.com,Female,35,3.0,3.2,3.3,3.3,3.0,1
Seth,Swanson,seth.swanson@email.com,Male,35,2.4,2.6,2.8,2.7,2.3,13
Woodrow,Bailey,woodrow.bailey@email.com,Male,34,2.2,2.4,2.3,2.5,2.4,5
Randy,Bass,randy.bass@email.com,Male,34,2.0,2.1,2.2,2.1,2.0,2
Bradley,Briggs,bradley.briggs@email.com,Male,34,2.3,2.9,3.0,3.0,2.7,11
Rogelio,Castro,rogelio.castro@email.com,Male,34,2.8,3.3,3.3,3.2,3.4,0
Myron,Evans,myron.evans@email.com,Non-binary,34,2.1,2.1,2.1,2.0,2.2,5
Lewis,Hall,lewis.hall@email.com,Male,34,3.1,3.1,3.3,3.0,3.0,1
Bobby,Schneider,bobby.schneider@email.com,Male,34,2.8,2.8,3.0,2.8,2.6,0
Charlene,Tate,charlene.tate@email.com,Female,34,3.6,3.9,3.9,4.0,3.7,12
Hazel,Tyler,hazel.tyler@email.com,Female,34,2.5,2.6,2.7,2.5,2.6,0
Hazel,Barnes,hazel.barnes@email.com,Female,33,3.1,3.2,3.1,3.1,3.4,2
Sonya,Carr,sonya.carr@email.com,Female,33,2.9,3.1,3.1,3.1,3.1,9
Margaret,Jacobs,margaret.jacobs@email.com,Female,33,2.3,2.5,2.7,2.5,2.3,4
Raymond,Payne,raymond.payne@email.com,Male,33,2.3,2.1,2.0,2.2,2.1,3
Janice,Salazar,janice.salazar@email.com,Female,33,2.7,3.3,3.4,3.4,3.1,11
Jessie,Mack,jessie.mack@email.com,Male,32,2.3,2.9,2.8,2.8,3.1,4
Monica,Ortega,monica.ortega@email.com,Female,32,2.4,2.6,2.5,2.5,2.8,4
Christopher,Riley,christopher.riley@email.com,Male,32,3.6,3.4,3.3,3.5,3.4,4
Rickey,Woods,rickey.woods@email.com,Male,32,3.8,3.9,3.6,4.0,4.0,9
Adam,Baldwin,adam.baldwin@email.com,Male,31,3.1,3.4,3.3,3.5,3.4,4
Tommy,Bryan,tommy.bryan@email.com,Male,31,3.6,3.7,3.9,3.6,3.6,7
Geoffrey,Bush,geoffrey.bush@email.com,Male,31,2.1,2.2,2.1,2.1,2.4,3
Jeremy,Collier,jeremy.collier@email.com,Male,31,3.6,3.8,3.6,3.8,4.0,5
Luther,Harrington,luther.harrington@email.com,Male,31,3.5,3.3,3.3,3.2,3.4,8
Terry,Kennedy,terry.kennedy@email.com,Female,31,2.7,2.8,3.0,2.7,2.7,0
Alicia,Love,alicia.love@email.com,Female,31,2.6,2.6,2.6,2.5,2.7,0
Marsha,Byrd,marsha.byrd@email.com,Female,30,3.8,3.9,3.9,3.9,3.9,8
Sue,Foster,sue.foster@email.com,Female,30,2.3,2.8,3.0,2.9,2.5,2
Marion,Hansen,marion.hansen@email.com,Non-binary,30,2.3,2.1,2.3,2.1,1.9,4
Corey,Keller,corey.keller@email.com,Male,30,2.8,2.6,2.6,2.5,2.7,8
Genevieve,Lambert,genevieve.lambert@email.com,Female,30,3.2,3.2,3.2,3.2,3.2,4
Shannon,Malone,shannon.malone@email.com,Female,30,3.2,3.7,3.7,3.8,3.6,8
Natalie,Simmons,natalie.simmons@email.com,Female,30,2.4,2.8,3.0,2.8,2.6,3
Roberta,Stephens,roberta.stephens@email.com,Female,30,3.0,3.2,3.2,3.1,3.3,1
Blanca,Wade,blanca.wade@email.com,Non-binary,30,3.4,3.6,3.8,3.7,3.3,5
Cecilia,Weaver,cecilia.weaver@email.com,Female,30,3.3,3.2,3.2,3.2,3.2,4
Shaun,Wolfe,shaun.wolfe@email.com,Male,30,3.1,3.1,3.3,3.2,2.8,1
Marvin,Elliott,marvin.elliott@email.com,Male,29,2.5,3.1,3.0,3.1,3.2,6
Casey,Hall,casey.hall@email.com,Non-binary,29,3.2,4.0,4.0,4.0,4.0,4
Brett,Morales,brett.morales@email.com,Male,29,3.3,3.6,3.8,3.7,3.3,4
Jose,Bowman,jose.bowman@email.com,Male,28,3.2,3.7,3.9,3.7,3.5,0
Clint,Franklin,clint.franklin@email.com,Male,28,2.3,2.1,2.2,2.0,2.1,6
Lela,Ryan,lela.ryan@email.com,Female,28,2.2,2.1,2.3,2.0,2.0,6
Tyrone,Vargas,tyrone.vargas@email.com,Male,28,3.6,3.8,4.0,3.8,3.6,6
Tommie,Butler,tommie.butler@email.com,Male,27,2.2,2.5,2.4,2.4,2.7,3
Roosevelt,Jensen,roosevelt.jensen@email.com,Male,27,3.2,3.8,3.8,3.8,3.8,1
Rufus,Mathis,rufus.mathis@email.com,Male,27,3.2,3.3,3.4,3.4,3.1,4
Elias,Mcbride,elias.mcbride@email.com,Male,27,2.7,3.0,2.9,3.1,3.0,3
Wilma,Norris,wilma.norris@email.com,Female,27,2.5,3.1,3.1,3.0,3.2,1
Alma,Patterson,alma.patterson@email.com,Non-binary,27,3.5,3.7,3.7,3.6,3.8,1
Johnathan,Pierce,johnathan.pierce@email.com,Male,27,3.4,3.6,3.8,3.5,3.5,5
Janis,Russell,janis.russell@email.com,Female,27,3.5,3.4,3.3,3.5,3.4,1
Christian,Stone,christian.stone@email.com,Male,27,3.4,3.2,3.4,3.3,2.9,3
Gwen,Webster,gwen.webster@email.com,Female,27,2.3,2.7,2.7,2.7,2.7,5
Orlando,Cobb,orlando.cobb@email.com,Male,26,2.5,2.9,2.9,2.8,3.0,3
Opal,Flores,opal.flores@email.com,Non-binary,26,2.2,2.5,2.7,2.4,2.4,2
Alan,Grant,alan.grant@email.com,Male,26,2.4,2.6,2.5,2.6,2.7,3
Doris,Lamb,doris.lamb@email.com,Female,26,2.3,2.8,2.7,2.7,3.0,4
Delia,Perry,delia.perry@email.com,Female,26,2.4,2.2,2.3,2.2,2.1,1
Alberto,Spencer,alberto.spencer@email.com,Male,26,3.8,3.9,4.0,3.9,3.8,3
Dianna,Welch,dianna.welch@email.com,Female,26,3.5,3.3,3.5,3.3,3.1,4
Alma,Collins,alma.collins@email.com,Female,25,2.5,2.8,2.8,2.8,2.8,3
Rosie,Frank,rosie.frank@email.com,Female,25,3.3,3.7,3.9,3.7,3.5,2
Thomas,Garner,thomas.garner@email.com,Male,25,2.2,2.7,2.6,2.7,2.8,2
Leona,May,leona.may@email.com,Female,25,3.8,3.2,3.6,3.3,3.0,2
Felicia,Munoz,felicia.munoz@email.com,Female,25,3.1,2.9,3.0,2.9,2.8,3
Cary,Olson,cary.olson@email.com,Female,25,2.6,3.1,3.1,3.2,3.0,1
Gustavo,Patton,gustavo.patton@email.com,Male,25,2.0,2.2,2.1,2.3,2.2,2
Fernando,Simon,fernando.simon@email.com,Male,25,2.8,2.8,2.9,2.9,2.6,1
Erin,Stanley,erin.stanley@email.com,Female,25,2.0,2.5,2.6,2.5,2.4,0
Arnold,Alvarado,arnold.alvarado@email.com,Male,24,2.8,2.6,2.8,2.7,2.3,1
Jacqueline,Craig,jacqueline.craig@email.com,Female,24,2.5,2.5,2.4,2.6,2.5,1
Kirk,Day,kirk.day@email.com,Male,24,3.6,3.7,4.0,3.9,3.5,2
Miguel,Jackson,miguel.jackson@email.com,Male,24,3.4,3.9,4.0,3.9,3.8,2
Chester,Martin,chester.martin@email.com,Male,24,3.1,3.2,3.1,3.2,3.3,0
Herman,Rodgers,herman.rodgers@email.com,Male,24,3.3,3.7,3.8,3.7,3.6,1
Dexter,Wilkins,dexter.wilkins@email.com,Male,24,3.6,3.4,3.3,3.3,3.6,0
Shelia,Abbott,shelia.abbott@email.com,Female,23,3.4,4.0,4.0,4.0,4.0,1
Preston,Bell,preston.bell@email.com,Non-binary,23,3.3,3.5,3.6,3.6,3.3,1
Juan,Blake,juan.blake@email.com,Male,23,2.4,2.9,2.8,2.8,3.1,1
Ernestine,Brown,ernestine.brown@email.com,Male,23,2.8,2.8,3.0,2.8,2.6,0
Elijah,Ferguson,elijah.ferguson@email.com,Male,23,2.6,3.0,2.9,2.9,3.2,0
Andrew,Graham,andrew.graham@email.com,Male,23,3.9,3.9,4.0,4.0,3.8,1
Cory,Mason,cory.mason@email.com,Male,23,2.0,2.0,2.1,2.1,1.8,0
Hannah,Rowe,hannah.rowe@email.com,Female,23,2.2,2.8,2.8,2.7,2.9,1
Gladys,Santiago,gladys.santiago@email.com,Female,23,2.6,2.8,2.8,2.7,2.9,1
Josh,Todd,josh.todd@email.com,Male,23,3.1,3.6,3.7,3.5,3.6,1
Eva,Townsend,eva.townsend@email.com,Female,23,3.2,3.1,3.3,3.1,2.9,0
Louise,Turner,louise.turner@email.com,Female,23,2.3,2.8,2.7,2.8,2.9,1
Jasmine,Becker,jasmine.becker@email.com,Female,22,3.3,3.5,3.4,3.6,3.5,0
Joy,Boone,joy.boone@email.com,Female,22,2.6,2.8,2.7,2.9,2.8,0
Natasha,Christensen,natasha.christensen@email.com,Female,22,3.2,3.2,3.4,3.1,3.1,0
Dawn,Larson,dawn.larson@email.com,Female,22,2.3,2.7,2.7,2.7,2.7,0
Dana,Norman,dana.norman@email.com,Female,22,4.0,4.0,4.0,4.0,4.0,0
