fname,lname,email,gender,age,overall_gpa,major_gpa,intro_gpa,intermediate_gpa,advanced_gpa,years_experience
Jeanne,Copeland,jeanne.copeland@email.com,Non-binary,37,2.8,2.9,2.8,3.0,2.9,7
Jacqueline,Craig,jacqueline.craig@email.com,Female,24,2.5,2.5,2.4,2.6,2.5,1
Matt,Daniel,matt.daniel@email.com,Male,36,2.4,2.3,2.3,2.3,2.3,13
Kirk,Day,kirk.day@email.com,Male,24,3.6,3.7,4.0,3.9,3.5,2
Francis,Delgado,francis.delgado@email.com,Male,42,3.9,3.7,3.7,3.7,3.7,14
Marvin,Elliott,marvin.elliott@email.com,Male,29,2.5,3.1,3.0,3.1,3.2,6
Myron,Evans,myron.evans@email.com,Non-binary,34,2.1,2.1,2.1,2.0,2.2,5
Elijah,Ferguson,elijah.ferguson@email.com,Male,23,2.6,3.0,2.9,2.9,3.2,0
Opal,Flores,opal.flores@email.com,Non-binary,26,2.2,2.5,2.7,2.4,2.4,2
Sue,Foster,sue.foster@email.com,Female,30,2.3,2.8,3.0,2.9,2.5,2
Rosie,Frank,rosie.frank@email.com,Female,25,3.3,3.7,3.9,3.7,3.5,2
Clint,Franklin,clint.franklin@email.com,Male,28,2.3,2.1,2.2,2.0,2.1,6
Marty,French,marty.french@email.com,Male,55,2.8,3.3,3.3,3.4,3.2,33
Thomas,Garner,thomas.garner@email.com,Male,25,2.2,2.7,2.6,2.7,2.8,2
Travis,Garner,travis.garner@email.com,Male,35,3.4,3.9,3.8,4.0,3.9,5
Ramona,Glover,ramona.glover@email.com,Female,39,2.6,2.8,2.9,2.8,2.7,13
Jean,Gonzales,jean.gonzales@email.com,Non-binary,65,3.0,3.5,3.5,3.4,3.6,1
Calvin,Goodman,calvin.goodman@email.com,Male,40,3.5,3.9,3.9,3.8,4.0,8
Andrew,Graham,andrew.graham@email.com,Male,23,3.9,3.9,4.0,4.0,3.8,1
Alan,Grant,alan.grant@email.com,Male,26,2.4,2.6,2.5,2.6,2.7,3
Casey,Hall,casey.hall@email.com,Non-binary,29,3.2,4.0,4.0,4.0,4.0,4
Lewis,Hall,lewis.hall@email.com,Male,34,3.1,3.1,3.3,3.0,3.0,1
Marion,Hansen,marion.hansen@email.com,Non-binary,30,2.3,2.1,2.3,2.1,1.9,4
Wesley,Harper,wesley.harper@email.com,Male,40,3.5,3.8,4.0,3.7,3.9,8
Luther,Harrington,luther.harrington@email.com,Male,31,3.5,3.3,3.3,3.2,3.4,8
Raul,Henderson,raul.henderson@email.com,Male,48,2.3,2.2,2.2,2.1,2.3,15
Charlotte,Henry,charlotte.henry@email.com,Female,37,3.0,3.4,3.3,3.3,3.6,0
Danny,Hogan,danny.hogan@email.com,Male,42,2.7,2.6,2.5,2.6,2.7,17
Carrie,Holland,carrie.holland@email.com,Female,47,2.8,3.4,3.5,3.5,3.2,4
Donnie,Jackson,donnie.jackson@email.com,Male,36,3.0,3.6,3.6,3.7,3.5,14
Miguel,Jackson,miguel.jackson@email.com,Male,24,3.4,3.9,4.0,3.9,3.8,2
Margaret,Jacobs,margaret.jacobs@email.com,Female,33,2.3,2.5,2.7,2.5,2.3,4
Roosevelt,Jensen,roosevelt.jensen@email.com,Male,27,3.2,3.8,3.8,3.8,3.8,1
Corey,Keller,corey.keller@email.com,Male,30,2.8,2.6,2.6,2.5,2.7,8
Terry,Kennedy,terry.kennedy@email.com,Female,31,2.7,2.8,3.0,2.7,2.7,0
Emanuel,Kim,emanuel.kim@email.com,Male,60,3.7,3.8,3.6,3.7,3.9,31
Ernesto,Klein,ernesto.klein@email.com,Male,54,2.0,2.5,2.6,2.5,2.4,24
Doris,Lamb,doris.lamb@email.com,Female,26,2.3,2.8,2.7,2.7,3.0,4
Genevieve,Lambert,genevieve.lambert@email.com,Female,30,3.2,3.2,3.2,3.2,3.2,4
Dawn,Larson,dawn.larson@email.com,Female,22,2.3,2.7,2.7,2.7,2.7,0
Gerard,Lloyd,gerard.lloyd@email.com,Male,37,2.4,2.8,3.0,2.7,2.7,13
Alicia,Love,alicia.love@email.com,Female,31,2.6,2.6,2.6,2.5,2.7,0
Constance,Lynch,constance.lynch@email.com,Female,35,2.3,2.6,2.8,2.7,2.3,1
Jessie,Mack,jessie.mack@email.com,Male,32,2.3,2.9,2.8,2.8,3.1,4
Shannon,Malone,shannon.malone@email.com,Female,30,3.2,3.7,3.7,3.8,3.6,8
Chester,Martin,chester.martin@email.com,Male,24,3.1,3.2,3.1,3.2,3.3,0
Rafael,Martin,rafael.martin@email.com,Male,44,3.3,3.8,3.8,3.8,3.8,19
Cory,Mason,cory.mason@email.com,Male,23,2.0,2.0,2.1,2.1,1.8,0
Georgia,Mathis,georgia.mathis@email.com,Female,35,2.0,2.0,2.2,2.1,1.7,2
Rufus,Mathis,rufus.mathis@email.com,Male,27,3.2,3.3,3.4,3.4,3.1,4
Billie,Maxwell,billie.maxwell@email.com,Female,37,2.3,2.6,2.6,2.7,2.5,8
Leona,May,leona.may@email.com,Female,25,3.8,3.2,3.6,3.3,3.0,2
Elias,Mcbride,elias.mcbride@email.com,Male,27,2.7,3.0,2.9,3.1,3.0,3
Donald,Mckinney,donald.mckinney@email.com,Male,67,2.6,3.0,2.9,3.0,3.1,30
Rita,Moore,rita.moore@email.com,Female,35,3.3,3.7,3.8,3.6,3.7,9
Brett,Morales,brett.morales@email.com,Male,29,3.3,3.6,3.8,3.7,3.3,4
Harvey,Morgan,harvey.morgan@email.com,Male,63,2.9,2.8,2.7,2.7,3.0,17
Felicia,Munoz,felicia.munoz@email.com,Female,25,3.1,2.9,3.0,2.9,2.8,3
Theresa,Nguyen,theresa.nguyen@email.com,Female,35,3.0,3.2,3.3,3.3,3.0,1
Dana,Norman,dana.norman@email.com,Female,22,4.0,4.0,4.0,4.0,4.0,0
Wilma,Norris,wilma.norris@email.com,Female,27,2.5,3.1,3.1,3.0,3.2,1
Esther,Obrien,esther.obrien@email.com,Female,68,3.8,3.6,3.7,3.7,3.5,34
Cary,Olson,cary.olson@email.com,Female,25,2.6,3.1,3.1,3.2,3.0,1
Monica,Ortega,monica.ortega@email.com,Female,32,2.4,2.6,2.5,2.5,2.8,4
Sylvia,Ortiz,sylvia.ortiz@email.com,Female,44,2.9,3.0,3.1,2.9,3.0,3
Lee,Osborne,lee.osborne@email.com,Non-binary,36,2.4,2.5,2.5,2.4,2.6,1
Doreen,Parker,doreen.parker@email.com,Female,39,2.8,2.9,3.1,2.8,2.8,5
Alma,Patterson,alma.patterson@email.com,Non-binary,27,3.5,3.7,3.7,3.6,3.8,1
Gustavo,Patton,gustavo.patton@email.com,Male,25,2.0,2.2,2.1,2.3,2.2,2
Raymond,Payne,raymond.payne@email.com,Male,33,2.3,2.1,2.0,2.2,2.1,3
Irene,Perkins,irene.perkins@email.com,Female,40,3.4,3.3,3.5,3.2,3.2,9
Delia,Perry,delia.perry@email.com,Female,26,2.4,2.2,2.3,2.2,2.1,1
Johnathan,Pierce,johnathan.pierce@email.com,Male,27,3.4,3.6,3.8,3.5,3.5,5
Leo,Pittman,leo.pittman@email.com,Male,36,3.2,3.7,3.9,3.7,3.5,14
Krista,Potter,krista.potter@email.com,Female,40,2.0,2.0,2.1,2.0,1.9,4
Valerie,Powell,valerie.powell@email.com,Female,63,2.0,2.5,2.5,2.5,2.5,11
Ada,Ramsey,ada.ramsey@email.com,Female,53,2.8,3.4,3.5,3.3,3.4,20
Rebecca,Reynolds,rebecca.reynolds@email.com,Female,39,2.1,2.4,2.5,2.5,2.2,12
Christopher,Riley,christopher.riley@email.com,Male,32,3.6,3.4,3.3,3.5,3.4,4
Krista,Robertson,krista.robertson@email.com,Female,36,2.1,2.3,2.4,2.4,2.1,8
Herman,Rodgers,herman.rodgers@email.com,Male,24,3.3,3.7,3.8,3.7,3.6,1
Monique,Rodriguez,monique.rodriguez@email.com,Non-binary,37,2.9,3.3,3.2,3.2,3.5,12
Hannah,Rowe,hannah.rowe@email.com,Female,23,2.2,2.8,2.8,2.7,2.9,1
Janis,Russell,janis.russell@email.com,Female,27,3.5,3.4,3.3,3.5,3.4,1
Lela,Ryan,lela.ryan@email.com,Female,28,2.2,2.1,2.3,2.0,2.0,6
Janice,Salazar,janice.salazar@email.com,Female,33,2.7,3.3,3.4,3.4,3.1,11
Gladys,Santiago,gladys.santiago@email.com,Female,23,2.6,2.8,2.8,2.7,2.9,1
Bobby,Schneider,bobby.schneider@email.com,Male,34,2.8,2.8,3.0,2.8,2.6,0
Natalie,Simmons,natalie.simmons@email.com,Female,30,2.4,2.8,3.0,2.8,2.6,3
Fernando,Simon,fernando.simon@email.com,Male,25,2.8,2.8,2.9,2.9,2.6,1
Jennifer,Simpson,jennifer.simpson@email.com,Female,59,2.2,2.8,2.7,2.9,2.8,10
Vickie,Singleton,vickie.singleton@email.com,Female,36,2.7,2.8,2.7,2.7,3.0,4
Alberto,Spencer,alberto.spencer@email.com,Male,26,3.8,3.9,4.0,3.9,3.8,3
Erin,Stanley,erin.stanley@email.com,Female,25,2.0,2.5,2.6,2.5,2.4,0
Roberta,Stephens,roberta.stephens@email.com,Female,30,3.0,3.2,3.2,3.1,3.3,1
Christian,Stone,christian.stone@email.com,Male,27,3.4,3.2,3.4,3.3,2.9,3
Seth,Swanson,seth.swanson@email.com,Male,35,2.4,2.6,2.8,2.7,2.3,13
Charlene,Tate,charlene.tate@email.com,Female,34,3.6,3.9,3.9,4.0,3.7,12
Janice,Terry,janice.terry@email.com,Female,36,2.7,2.7,2.6,2.8,2.7,14
Josh,Todd,josh.todd@email.com,Male,23,3.1,3.6,3.7,3.5,3.6,1
Eva,Townsend,eva.townsend@email.com,Female,23,3.2,3.1,3.3,3.1,2.9,0
Louise,Turner,louise.turner@email.com,Female,23,2.3,2.8,2.7,2.8,2.9,1
Hazel,Tyler,hazel.tyler@email.com,Female,34,2.5,2.6,2.7,2.5,2.6,0
Tyrone,Vargas,tyrone.vargas@email.com,Male,28,3.6,3.8,4.0,3.8,3.6,6
Edwin,Vasquez,edwin.vasquez@email.com,Male,70,3.5,3.8,4.0,3.7,3.7,28
Blanca,Wade,blanca.wade@email.com,Non-binary,30,3.4,3.6,3.8,3.7,3.3,5
Jimmy,Wagner,jimmy.wagner@email.com,Male,56,2.5,2.8,2.8,2.9,2.7,8
Kristine,Waters,kristine.waters@email.com,Female,37,3.3,3.9,3.9,3.8,4.0,8
Cecilia,Weaver,cecilia.weaver@email.com,Female,30,3.3,3.2,3.2,3.2,3.2,4
Gwen,Webster,gwen.webster@email.com,Female,27,2.3,2.7,2.7,2.7,2.7,5
Dianna,Welch,dianna.welch@email.com,Female,26,3.5,3.3,3.5,3.3,3.1,4
Dexter,Wilkins,dexter.wilkins@email.com,Male,24,3.6,3.4,3.3,3.3,3.6,0
Rachael,Wilkins,rachael.wilkins@email.com,Female,39,2.4,2.9,3.0,2.8,2.9,7
Yolanda,Willis,yolanda.willis@email.com,Female,47,3.2,3.4,3.3,3.3,3.6,6
Shaun,Wolfe,shaun.wolfe@email.com,Male,30,3.1,3.1,3.3,3.2,2.8,1
Rickey,Woods,rickey.woods@email.com,Male,32,3.8,3.9,3.6,4.0,4.0,9
Devin,Wright,devin.wright@email.com,Male,39,3.4,3.7,3.8,3.6,3.7,15
